title,link,company,location,description_summary
Ref. 20190: Desarrollador FullStack PHP Senior / Semisenior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20190-desarrollador-fullstack-php-senior-semisenior-hibrido-belgrano-caba-en-belgrano-BE3AC65F2A17D32661373E686DCF3405#lc=ListOffers-Score6-17,ADN - Recursos Humanos,"Belgrano, Capital Federal",N/A (Not in list view)
Desarrollador Python Sr Experiencia en IA // Proyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-sr-experiencia-en-ia--proyectos-bancarios-remoto-para-residentes-en-buenos-aires-en-monserrat-F4E0278936F17B0261373E686DCF3405#lc=ListOffers-Score6-18,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Ref. 20210: Desarrollador JavaScript,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20210-desarrollador-javascript-remoto-argentina-en-recoleta-8B7909F29210F3EB61373E686DCF3405#lc=ListOffers-Score6-19,ADN - Recursos Humanos,"Recoleta, Capital Federal",N/A (Not in list view)
Ref. 20182: Desarrollador Node JavaScript / Híbrido Palermo CABA,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20182-desarrollador-node-javascript-hibrido-palermo-caba-en-palermo-B35129011E2BB42161373E686DCF3405#lc=ListOffers-Score6-0,ADN - Recursos Humanos,"Palermo, Capital Federal",N/A (Not in list view)
Ref. 20190: Desarrollador FullStack PHP / Hibrido Belgrano CABA,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20190-desarrollador-fullstack-php-hibrido-belgrano-caba-en-belgrano-550B66E0D6359E3B61373E686DCF3405#lc=ListOffers-Score6-1,ADN - Recursos Humanos,"Belgrano, Capital Federal",N/A (Not in list view)
Desarrollador Java/Node Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-javanode-senior-en-san-nicolas-BF0A077914B5AC4E61373E686DCF3405#lc=ListOffers-Score6-2,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador Node Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-node-senior-en-san-nicolas-90A5298DEAC2A3D561373E686DCF3405#lc=ListOffers-Score6-3,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador .Net Back End Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-back-end-sr-remoto-buenos-aires-en-monserrat-994983BA7E10499561373E686DCF3405#lc=ListOffers-Score6-4,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador .NET Front End Sr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-front-end-sr-full-remoto-para-buenos-aires-en-monserrat-3C27AA4BAABD926F61373E686DCF3405#lc=ListOffers-Score6-5,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Programador C# .NET Jr+/Ssr.,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-c-net-jrssr-p-importante-empresa-de-servicios-it-en-monserrat-033E9820D7D001D861373E686DCF3405#lc=ListOffers-Score6-6,SOLUTIX S.A. [Soluciones de RR.HH],"Monserrat, Capital Federal",N/A (Not in list view)
